8890,ガチマッチ,ガチヤグラ,アジフライスタジアム,WIN!,68,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,4,6,5,6,1393,たこまさ,プライムシューターベッチュー,ナイスダマ,スプラッシュボム,10,4,9,4,1094,ぐれぼろ*YC,ダイナモローラーベッチュー,ナイスダマ,スプリンクラー,8,1,5,5,1350,さらぺちちゃん,ヒーローチャージャー レプリカ,ハイパープレッサー,スプラッシュボム,6,1,5,3,915,わるお,4Kスコープ,アメフラシ,トラップ,6,2,4,5,1653,しーさー,クーゲルシュライバー・ヒュー,アメフラシ,ジャンプビーコン,3,4,9,3,1062,Xene:D,クラッシュブラスター,ハイパープレッサー,スプラッシュボム,12,0,9,3,934,イクラのあじ!,.52ガロンデコ,ハイパープレッサー,カーリングボム,3,1,6,5,1162
8828,ガチマッチ,ガチヤグラ,マンタマリア号,LOSE…,0,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,3,2,5,2,806,eg»みなづき,スパッタリー・ヒュー,アメフラシ,ポイズンミスト,3,0,5,1,700,Chat noir,ハイドラントカスタム,インクアーマー,トラップ,0,0,4,1,473,くろにゃんたこぉー！,キャンピングシェルターカーモ,ウルトラハンコ,トラップ,2,1,6,1,594,る,デュアルスイーパーカスタム,アメフラシ,スプラッシュボム,2,4,2,3,677,ガヴ,パラシェルター,アメフラシ,スプリンクラー,3,6,1,3,747,OPENREC.tv,スクリュースロッシャーベッチュー,スーパーチャクチ,タンサンボム,7,2,4,2,802,わこらだ,プライムシューターベッチュー,ナイスダマ,スプラッシュボム,8,1,1,3,610
8829,ガチマッチ,ガチヤグラ,マンタマリア号,LOSE…,57,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,7,2,12,2,1078,EI アイきゃら,スプラスコープ,ハイパープレッサー,スプラッシュボム,6,2,4,5,1108,たれ,スパイガジェットソレーラ,イカスフィア,スプラッシュボム,3,3,7,5,1280,MRHK#wanko,スプラマニューバーコラボ,ジェットパック,カーリングボム,10,2,7,4,1074,SHILDA,デュアルスイーパーカスタム,アメフラシ,スプラッシュボム,5,2,7,3,1254,OPENREC.tv,スクリュースロッシャーベッチュー,スーパーチャクチ,タンサンボム,11,2,8,6,1516,ガヴ,パラシェルター,アメフラシ,スプリンクラー,6,1,4,4,1134,りょ。,スプラシューターコラボ,ジェットパック,スプラッシュボム,8,1,7,3,963
8891,ガチマッチ,ガチホコバトル,コンブトラック,WIN!,100,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,0,4,2,1,365,BTよいどれたぬき,ノーチラス79,ジェットパック,キューバンボム,4,2,2,1,434,ブレーキ,スプラマニューバーコラボ,ジェットパック,カーリングボム,6,0,1,1,407,み,クアッドホッパーブラック,スーパーチャクチ,ロボットボム,9,2,1,2,510,(`・∀・´),パラシェルターソレーラ,スプラッシュボムピッチャー,ロボットボム,0,0,4,0,454,kurosmon,ヴァリアブルローラーフォイル,マルチミサイル,キューバンボム,0,1,4,1,376,シューマ8さい,スプラシューターベッチュー,マルチミサイル,キューバンボム,2,0,5,1,330,わかば,クアッドホッパーブラック,スーパーチャクチ,ロボットボム,4,0,6,0,284
8868,ガチマッチ,ガチホコバトル,バッテラストリート,WIN!,100,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,0,1,0,1,338,カジュアルきょしょく,ロングブラスターネクロ,マルチミサイル,クイックボム,1,1,1,0,139,はいちゃん,スクリュースロッシャーベッチュー,スーパーチャクチ,タンサンボム,1,0,0,0,281,LowK8 Mιsα,スプラマニューバーベッチュー,イカスフィア,キューバンボム,1,0,0,1,325,かわいいはさいきょう,ロングブラスターネクロ,マルチミサイル,クイックボム,0,0,0,0,169,ふゆなつ,L3リールガンベッチュー,ウルトラハンコ,スプラッシュシールド,0,0,0,0,25,これはなんですか？,スプラシューターコラボ,ジェットパック,スプラッシュボム,0,0,1,1,243,くーげるからにげるな,ダイナモローラーベッチュー,ナイスダマ,スプリンクラー,1,0,2,1,279
8887,ガチマッチ,ガチヤグラ,マンタマリア号,WIN!,48,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,5,4,11,3,1135,kuro,スクリュースロッシャーベッチュー,スーパーチャクチ,タンサンボム,10,5,5,3,1205,なつやすみ,ヒーローローラー レプリカ,スーパーチャクチ,カーリングボム,6,1,11,0,717,かぞく,ノーチラス79,ジェットパック,キューバンボム,8,6,4,5,973,アストロンDX,ヒーローローラー レプリカ,スーパーチャクチ,カーリングボム,15,2,7,4,1089,さらぺちちゃん,ヒーローチャージャー レプリカ,ハイパープレッサー,スプラッシュボム,2,1,7,2,701,ゆうき,クラッシュブラスターネオ,マルチミサイル,カーリングボム,11,3,7,3,879,けんちゃん→←,N-ZAP85,インクアーマー,キューバンボム,3,4,8,5,1392
8844,ガチマッチ,ガチホコバトル,コンブトラック,WIN!,100,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,3,3,8,4,1302,うぇい,スクリュースロッシャーベッチュー,スーパーチャクチ,タンサンボム,5,9,7,2,1256,エレキング,ホクサイ・ヒュー,マルチミサイル,ジャンプビーコン,8,4,5,5,1006,にゃぴまる。,ラピッドブラスターベッチュー,イカスフィア,トーピード,8,0,8,3,1118,あとはまかせた,パラシェルターソレーラ,スプラッシュボムピッチャー,ロボットボム,5,1,6,1,1216,Aşťřaþøwēr,ラピッドブラスターベッチュー,イカスフィア,トーピード,8,3,7,2,853,ときのかみファ？！ン,デュアルスイーパーカスタム,アメフラシ,スプラッシュボム,7,5,5,4,1642,りんごタルト,スプラシューターコラボ,ジェットパック,スプラッシュボム,8,4,6,3,1162
8813,ガチマッチ,ガチホコバトル,ザトウマーケット,LOSE…,36,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,6,4,8,6,1681,ひよこ,クアッドホッパーブラック,スーパーチャクチ,ロボットボム,6,4,11,2,1320,★ΞEarth,スプラスコープベッチュー,イカスフィア,スプリンクラー,8,2,8,4,1065,ながら,.52ガロン,イカスフィア,ポイントセンサー,12,3,14,1,725,あ,バケットスロッシャーデコ,イカスフィア,スプリンクラー,12,0,11,1,1175,ポジトロン,スパッタリー,キューバンボムピッチャー,ジャンプビーコン,9,2,8,1,1299,しょしんしゃあー,スプラシューター,スーパーチャクチ,クイックボム,12,3,10,3,1010,ヤノゾビッチ,ダイナモローラーベッチュー,ナイスダマ,スプリンクラー,8,1,4,6,1507
8852,ガチマッチ,ガチホコバトル,コンブトラック,WIN!,100,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,5,3,5,6,1524,は？,14式竹筒銃・甲,マルチミサイル,カーリングボム,11,3,2,7,1590,はまこう,ボールドマーカー7,ウルトラハンコ,スプラッシュボム,6,2,7,1,1267,ta,パラシェルターソレーラ,スプラッシュボムピッチャー,ロボットボム,9,3,4,5,1114,かきざき,バレルスピナーリミックス,ナイスダマ,ポイントセンサー,1,3,6,3,989,Zola2,わかばシューター,インクアーマー,スプラッシュボム,4,1,10,4,1474,★★ねむたい★★　,スプラローラー,スーパーチャクチ,カーリングボム,10,2,8,3,1088,こるんだ,14式竹筒銃・甲,マルチミサイル,カーリングボム,3,3,7,6,1486
8825,ガチマッチ,ガチヤグラ,海女美術大学,WIN!,58,ちゅーたな,N-ZAP85,インクアーマー,キューバンボム,8,3,9,5,1320,どんどん,クラッシュブラスターネオ,マルチミサイル,カーリングボム,7,3,7,3,840,カロリーオフ,N-ZAP85,インクアーマー,キューバンボム,6,5,10,6,1337,バーローバーローバー,スプラローラー,スーパーチャクチ,カーリングボム,12,1,9,4,1073,なつめぐ,ノヴァブラスターベッチュー,アメフラシ,タンサンボム,8,3,10,3,983,なのぴこ,ホクサイ・ヒュー,マルチミサイル,ジャンプビーコン,13,2,9,4,834,すまぶらなんて,N-ZAP85,インクアーマー,キューバンボム,5,6,7,5,1310,ユージーンX,ダイナモローラーベッチュー,ナイスダマ,スプリンクラー,9,2,7,3,1232
